cluster_name,cluster_group,cluster_tags
loadstone-purview,qux,
microbiology-karloff,baz,
bos'ns-amelia,bar,
invincible-bishopric,bar,
scatterbrains-gabardines,qux,
hatch-birthstones,bar,
relaxant-bleeder,baz,
rompers-sapporo,foo,
pricks-southey,qux,
in-wildcats,baz,
involve-childhood,baz,
splits-sames,foo,
quine-threateningly,baz,
glared-krone,foo,
speedboat-dat,bar,
uriel-proctored,foo,
beeves-finders,bar,
assisi-porpoising,baz,
spender-adkins,qux,
stinging-merinos,foo,
versatility-nunavut,foo,
bushwhacker-pseudonym,foo,
reaper-squeezed,bar,
fiord-flying,qux,
propped-gobbledegook,bar,
lyx-kathleen,foo,
outshone-beefaroni,bar,
handed-tulip,foo,
efface-stickiness,qux,
sprint-fayetteville,baz,
iridium-gold,bar,
ricocheting-polios,qux,
flattering-tors,bar,
sprinkling-rps,foo,
orals-refashion,foo,
pallid-outbuildings,foo,
beebe-butches,qux,
furtherance-liker,baz,
pharynx-comparable,baz,
engendered-sunbathe,baz,
bounce-wilburn,bar,
african-enamelled,bar,
auditioning-griddles,baz,
chamber-cabbages,foo,
pave-ageless,foo,
gavel-lanny,qux,
livy-tackler,foo,
arbor-pistols,bar,
backus-r,foo,
kneecapped-numerology,baz,
flume-lodestars,qux,
puffins-calking,baz,
unready-manageable,foo,
reticent-stroking,qux,
vests-wolves,foo,
argonaut-exercises,bar,
motherlands-superb,baz,
flotation-bordellos,baz,
painstakingly-pathologically,baz,
electroplated-reference,bar,
ostentation-titles,baz,
milligram-absentee,baz,
bothering-darryl,bar,
surprised-demographic,bar,
filtrable-priestly,foo,
elegantly-compote,bar,
uncommonest-mycenae,baz,
nips-wagnerian,foo,
palmed-hurry,qux,
attributable-overall,foo,
wake-sandpipers,qux,
excitement-lorgnette,foo,
ties-forged,baz,
colliding-bloomed,bar,
instituting-vegan,foo,
deckles-persistence,foo,
whimsical-evermore,foo,
biogen-byproduct,foo,
lyme-shimmied,qux,
luxuriant-pistons,foo,
uteri-opaques,baz,
fledgeling-crochets,bar,
platter-uncoupled,qux,
hitting-yawns,qux,
decency-spermatozoon,bar,
herbs-jeanine,qux,
guttersnipes-soberly,bar,
prevaricators-estimated,foo,
imbibing-induced,baz,
catv-documents,baz,
passions-ypsilanti,foo,
appendages-assembled,foo,
squall-injurious,baz,
defiant-handset,bar,
disenfranchising-squeals,bar,
substructures-corrugates,baz,
patricia-evasiveness,foo,
galore-peculiarly,qux,
uhf-felice,qux,
octopuses-tapir,qux,
tangled-firmware,foo,
dustman-unobtrusively,baz,
indulging-forager,qux,
secs-pellucid,baz,
worrier-syllable,qux,
craters-hurting,baz,
practices-misanthropist,qux,
seasick-crosswalks,foo,
redoubles-toughest,foo,
croaks-biophysicists,foo,
hastiest-rulings,qux,
lovesick-carpals,baz,
exploit-fairest,baz,
familial-reincarnating,foo,
racoon-affronting,bar,
disciple-mexican,qux,
observing-preregistering,foo,
kunming-video,foo,
sneezed-ovarian,qux,
towels-peppery,foo,
parcel-preheat,baz,
consulate-westernizing,bar,
perpendicular-pastas,bar,
blackjacking-wheedle,baz,
bulgari-uzbek,qux,
precipitants-primacy,baz,
vacationing-americanizing,bar,
disembarking-phoenicia,qux,
coking-berried,foo,
entreaty-prepossessing,qux,
flapjacks-redemption,qux,
fogies-carbohydrates,qux,
renditions-emperor,foo,
motherboard-washbasins,qux,
disseminates-w,baz,
putative-confessor,qux,
caucus-nashville,foo,
outage-dissembled,qux,
monk-pampered,baz,
multiplexers-beeped,bar,
oz-prince,qux,
pedicuring-potting,baz,
herzl-wears,foo,
yr-soulmate,foo,
gripe-encamp,qux,
transnational-sunder,foo,
midterm-zealously,foo,
counteracts-reanimate,qux,
acquire-musician,qux,
accommodated-antiquarians,qux,
rake-curtsies,baz,
hopping-sorrels,foo,
odiously-legation,bar,
worships-superimposing,baz,
rodin-strophe,foo,
miscellanies-grammatical,foo,
piddling-introductory,foo,
feces-reinstated,bar,
lionize-haunting,baz,
flexibly-spamming,foo,
keaton-latasha,bar,
omega-ranches,baz,
racket-overlong,baz,
empathized-purge,baz,
later-trieste,qux,
twain-eyre,foo,
squaw-taskmaster,baz,
devouring-shackle,bar,
antitoxin-chafing,baz,
lagniappe-hydrogenates,foo,
just-measles,bar,
microscopically-infinitesimally,foo,
jobbers-zombie,foo,
civet-lewis,baz,
nicosia-microcode,qux,
agent-herald,foo,
falls-voluminously,qux,
bode-unhook,baz,
meters-policies,foo,
sweetening-undisguised,foo,
accredited-twined,bar,
sections-lairs,foo,
extempore-perambulating,baz,
flashily-somersaulting,qux,
sanitizing-honors,baz,
ripens-decimal,foo,
phantasy-trued,foo,
obsoleted-garters,qux,
lateralling-denials,foo,
lugubriously-val,bar,
cubical-intranet,qux,
republish-gadabout,foo,
gushing-javier,foo,
whisks-detects,baz,
standpoint-proved,baz,
pomaded-cantor,baz,
mayhem-bookmakers,bar,
marathoner-penciling,foo,
weakling-lynched,bar,
toothpastes-saxophonist,foo,
optical-lightweights,bar,
collocating-pilothouse,foo,
cherie-shrift,foo,
furloughing-folks,baz,
infallibility-fanciers,bar,
lucrative-horsewhip,foo,
skydived-fusion,qux,
atoll-hay,foo,
navigate-cornflakes,bar,
halloweens-unawares,baz,
immunization-postmarking,foo,
middleman-incompetently,baz,
fluctuation-punic,bar,
kindred-strutting,baz,
relevancy-strikes,baz,
overdoses-abductors,qux,
nativities-scratch,foo,
grins-blips,baz,
laundress-ballrooms,foo,
ne-temporize,foo,
stol-sequestrations,foo,
farina-pigsty,baz,
dimming-nabokov,baz,
wineries-councillors,foo,
systematically-disestablished,bar,
capably-matchless,qux,
permissiveness-tastefully,qux,
knockwursts-mutilates,qux,
deceits-botched,foo,
perforates-give,baz,
poisoning-obliterating,baz,
cautiously-menders,bar,
jayson-haltering,bar,
feminine-masqueraders,foo,
travailing-superintendency,baz,
wack-shunted,baz,
hades-gentrify,foo,
embodiment-unbuckled,bar,
skeptical-unrelieved,baz,
trysting-prepositional,baz,
molts-tibet,baz,
riser-menstruated,foo,
suffragist-romanian,bar,
brenton-penance,baz,
castes-collaring,qux,
bandages-twerks,baz,
worsting-skippered,baz,
phallus-kroger,bar,
corning-pentax,qux,
pincers-plaits,baz,
manipulations-burden,qux,
budged-solicitors,baz,
exchange-crisscross,baz,
simple-thickeners,qux,
material-cruciforms,foo,
misadventure-instinct,foo,
gale-naturalists,foo,
beetle-buttresses,baz,
outlaw-yipping,bar,
tailpipes-accession,bar,
template-oh,baz,
dunno-kwangju,baz,
plaintively-laureate,baz,
tunefully-receptacles,baz,
coupled-melts,bar,
openest-intensives,baz,
imprecisely-fructify,foo,
snailed-slideshow,baz,
slovakia-recently,bar,
millenniums-pastier,qux,
soufflé-cathryn,bar,
dustbuster-oppressors,foo,
sinecure-ahmadinejad,foo,
perpetrators-jobless,bar,
statuette-builders,baz,
ariadne-fluorides,bar,
deafest-discommoding,qux,
tastiness-ruination,qux,
motivation-longs,foo,
longingly-outstandingly,foo,
beads-jigging,qux,
eclectics-chennai,foo,
waldorf-affable,baz,
congressman-discourages,baz,
caph-practices,foo,
shout-astringency,qux,
oswald-womenfolk,foo,
specifiers-curtains,baz,
annulment-coauthors,bar,
firebreak-earnestine,bar,
subculture-bearish,bar,
undervalued-abstemious,foo,
noddy-nanette,foo,
endearment-gunfights,baz,
huddle-gurus,foo,
taunts-iran,bar,
warmth-grimes,bar,
scottish-pacify,bar,
isolate-foaled,bar,
kirby-marketable,qux,
decathlons-prose,qux,
pantsuits-castrate,foo,
collectivized-balmiest,bar,
gaze-monochrome,bar,
quavery-kiss,foo,
squad-birdbath,qux,
media-marion,qux,
variables-squelched,qux,
matt-jaggies,foo,
notarizing-skateboarding,foo,
overheats-guttural,qux,
inundates-whimpering,qux,
squab-consumable,baz,
dogmas-ovary,baz,
janie-viruses,qux,
texan-lumber,baz,
expedite-rom,baz,
tricia-germinated,qux,
tumults-knickerbocker,qux,
impairing-dubcek,bar,
legislated-whirlpools,qux,
antiseptic-ratting,baz,
scissor-once,qux,
parser-splotch,bar,
tolerated-gop,foo,
chiefest-orgasmic,bar,
placentas-fuzzy,foo,
andretti-mortifying,baz,
flatterers-diatribe,baz,
riviera-cooking,foo,
bucksaws-thessaloníki,qux,
valuations-prefabricate,bar,
lynnette-tannest,baz,
plants-indiscretions,qux,
crossed-preheats,foo,
succeeded-dirtiest,foo,
decal-roach,foo,
extrovert-olympiads,foo,
generously-snakebites,qux,
huffman-theodore,foo,
scapula-amasses,baz,
campus-preachy,foo,
sleeks-cabbies,baz,
fed-jigger,foo,
beheading-wreath,foo,
ferret-yapped,baz,
unicode-hdmi,bar,
sb-jostle,bar,
disposed-misty,bar,
chutzpah-skirt,qux,
mammas-fretwork,bar,
intense-nonpoisonous,bar,
amnesiacs-ethically,bar,
doctrinaires-hinging,bar,
logotype-seismologists,foo,
redevelopment-ascendency,baz,
vapors-coronary,baz,
romping-documenting,baz,
swilled-watchmakers,bar,
parenthesizing-ringtones,bar,
variety-ny,baz,
papaya-codas,qux,
passel-banqueted,bar,
baddest-juster,qux,
boutonnière-broths,qux,
suspected-survey,baz,
deployed-sandbanks,bar,
excoriate-disobedience,foo,
vertiginous-garnered,foo,
beowulf-puffy,baz,
divesting-rubbernecking,bar,
discountenanced-reconnect,baz,
paganism-reprieved,foo,
gladstones-jocosity,bar,
to-upbringings,foo,
jungian-dunces,foo,
cooper-gluttonously,bar,
shahs-squelched,qux,
pragmatism-lassen,baz,
tinctures-bobbie,bar,
halves-accent,bar,
solubility-northerly,foo,
hesitantly-formidably,baz,
cast-whimsey,bar,
realer-thorny,baz,
updater-insulation,bar,
dragnet-blazed,qux,
urgently-vindicators,qux,
systematizes-k,baz,
announce-riotous,bar,
sterility-deer,qux,
touchy-caryatides,bar,
cucumber-destructing,baz,
romanticists-renunciations,foo,
answering-dustbuster,qux,
excoriation-mayas,foo,
sibelius-jacobin,baz,
monarchs-lovelace,qux,
quotas-capricorn,foo,
mistreating-rhizome,baz,
nonconductors-washings,foo,
jinxed-ennoblement,qux,
timor-imbeciles,foo,
cruddiest-windsocks,baz,
acid-karla,bar,
stir-switchbacks,foo,
hernia-smoked,foo,
pendulum-supposed,qux,
fags-hempen,qux,
reefed-saxons,foo,
brian-ot,baz,
contuse-maisie,bar,
locksmith-beaux,qux,
baikal-master,qux,
savannah-formulated,baz,
antiaircraft-moll,baz,
collie-bluestockings,baz,
carousers-nourish,bar,
mistype-teletype,qux,
niggards-howler,foo,
synchronously-wheezier,foo,
retrograded-promotional,baz,
hundredth-gentiles,foo,
dietitians-kinking,bar,
immersive-frito,bar,
holly-sordidly,baz,
moet-youth,bar,
lodging-saith,bar,
nichols-massacred,baz,
jim-harks,foo,
constable-satyrs,bar,
pneumatically-republish,foo,
daiquiris-pundits,qux,
zincs-boilers,qux,
crisscrossing-intern,baz,
photoelectric-cubist,baz,
heckling-disconnection,foo,
suppresses-brenda,baz,
bisexuals-busybodies,baz,
rifting-figures,bar,
superabundances-savanna,baz,
pasteurizing-zelig,bar,
zambia-outbids,bar,
stephan-seams,bar,
headstones-spec,foo,
aztecan-brake,qux,
cesspools-mainstreams,baz,
lees-bede,qux,
caraways-weaver,foo,
boulders-marvels,baz,
rumination-comfiest,foo,
badmouthing-geriatric,qux,
sixes-artwork,baz,
losing-rigging,qux,
pied-quail,foo,
subdividing-psychopathic,bar,
fluffiest-mohorovicic,qux,
scalding-hocked,bar,
enunciation-trenchantly,bar,
strength-nybbles,bar,
documentary-smuts,foo,
droids-lamination,foo,
coring-incapacitating,qux,
anonymity-spindle,baz,
gores-hotshots,baz,
outmaneuvered-agate,qux,
scandals-mynahs,bar,
enfeeble-ampere,foo,
bbs-aircraft,bar,
accuses-dodoes,foo,
handcuffed-sustaining,qux,
corkscrew-ospreys,baz,
loyallest-stabilization,foo,
affluence-branches,qux,
prejudging-scrawny,qux,
jacksonian-scantier,qux,
anteing-deconstruction,qux,
fairfield-maximally,qux,
insanely-coalesce,bar,
stickler-emma,foo,
hooray-oldsmobile,qux,
nagoya-lollipops,foo,
macaronis-toilets,bar,
ordinals-strolled,bar,
stabled-mansard,foo,
murkily-polka,bar,
repair-optima,bar,
yawed-dreary,foo,
posteriors-propeller,foo,
ginkgoes-instrument,qux,
halfhearted-unhitches,bar,
stockaded-vetches,foo,
liberalizes-dinners,foo,
hull-junkie,baz,
manuscript-playpen,bar,
quadrangle-joint,bar,
leniency-bluejays,foo,
birch-navigable,foo,
coccyx-subtractions,qux,
ironies-elope,bar,
noises-dominate,bar,
recourse-regretted,baz,
straitening-commodity,foo,
flibbertigibbet-ohm,bar,
charmed-derails,bar,
hued-tahoe,qux,
underachieves-lesbian,qux,
chomsky-chortles,qux,
mortised-bantu,qux,
prosper-chantilly,foo,
squibb-brusker,bar,
whirlpools-nan,qux,
tattled-pocket,qux,
giddy-undulant,baz,
amperage-immovably,foo,
grahame-vivaciousness,bar,
digs-unseats,foo,
underpaid-vacationing,foo,
parasols-confidently,foo,
kendra-potables,qux,
cargos-scrods,baz,
forecasts-suarez,bar,
pd-vouching,bar,
parse-coverage,bar,
punched-sauntering,qux,
stonewall-testing,baz,
neva-inconsequentially,foo,
kahuna-hardier,foo,
tacitness-hockney,foo,
blackmail-inspiration,foo,
hearken-aridity,bar,
firmness-forestalled,foo,
composting-denatures,qux,
cynicism-stereotypes,foo,
myths-azalea,bar,
flatfeet-ubuntu,qux,
metallurgist-fourscore,baz,
novelty-decaffeinating,bar,
spiders-quibblers,bar,
expiry-uppercutting,baz,
refurbished-overgrew,qux,
circumference-sondheim,bar,
illumining-curitiba,baz,
corrections-aback,qux,
analogy-circumspect,bar,
hourglasses-stakeouts,foo,
drinkers-semite,foo,
ministrant-nasalize,foo,
capek-untruthful,baz,
gamekeeper-odysseus,foo,
goons-misapplying,baz,
sunstroke-grunges,baz,
moocher-viscountess,qux,
quitter-felipe,bar,
apothecaries-mussy,bar,
sharpeners-flossie,baz,
beretta-repasts,bar,
patriot-protozoon,foo,
quadriplegic-agriculturalists,foo,
tanneries-severer,foo,
inonu-sydney,qux,
supporting-scorers,baz,
bonnie-stakeouts,qux,
nihilists-guided,qux,
coaxes-brezhnev,bar,
brushes-pate,foo,
landslid-reviewed,qux,
hesperia-enumerations,baz,
kindhearted-stanchions,qux,
engrave-positrons,foo,
chap-sequesters,qux,
iotas-jed,qux,
andromeda-grievously,qux,
glimpse-pedagogues,foo,
historic-healthiness,qux,
ennobling-suborns,foo,
blesses-quietuses,qux,
extent-bureaucratic,qux,
swazi-electrocutions,qux,
depicts-hague,baz,
lord-invoices,bar,
rapped-preterits,baz,
sigma-greetings,foo,
laundromats-flamenco,foo,
savior-reappraisals,bar,
humboldt-weekly,baz,
creosote-lightning,qux,
gofer-honeymoon,foo,
bayberry-harmlessly,foo,
specialists-disbars,bar,
embargo-underwriter,bar,
misanthropist-oligarchies,baz,
overseen-rather,bar,
tipsiest-draws,bar,
capri-understatement,qux,
clomps-cruellest,baz,
vocalic-anguishing,bar,
instigation-climber,foo,
bylaw-separatists,qux,
reapplying-caginess,foo,
renascences-interlaced,qux,
heifetz-encounter,qux,
expire-issuance,foo,
urchins-suckle,foo,
rustling-claw,foo,
devilled-academia,baz,
balefully-insectivorous,foo,
fatigued-plaints,qux,
moseley-chrysalides,baz,
stonewall-valuing,qux,
demoralizing-nationalizations,foo,
tractor-shepherd,qux,
malady-outcasts,bar,
tallow-bellying,qux,
resolve-brimfull,baz,
sulked-soundproof,baz,
nautilus-scopes,bar,
effervesced-westminster,qux,
chunks-bra,foo,
flanks-jets,baz,
fertilizing-roamers,foo,
exuberantly-leap,baz,
overrides-holocaust,foo,
comings-casino,foo,
toledo-speculate,baz,
licensee-ecotourism,qux,
dribbled-structural,foo,
nirvana-ur,foo,
hospitalization-chou,qux,
giannini-zebedee,foo,
sebastian-appendages,baz,
drags-miscalculate,foo,
marbled-posh,foo,
thirstier-wrestler,qux,
spites-stacy,baz,
pussier-farmhands,bar,
queering-monarchs,bar,
falsely-intellects,baz,
chinchilla-commences,qux,
wholesales-donor,foo,
hundredweights-ratchet,bar,
hairbreadth-fibrous,qux,
scarceness-calypso,baz,
interdict-uncharitable,bar,
propagated-movies,bar,
woodier-nimblest,bar,
posteriors-coins,foo,
manumitted-hazarding,bar,
chanties-phlebitis,foo,
honor-vim,foo,
calcify-grandmothers,bar,
smoother-gounod,qux,
thallium-sitcom,qux,
psychotics-orchestrating,qux,
militarists-inseparable,qux,
radicals-titicaca,baz,
stateliest-odors,bar,
lodge-unnumbered,qux,
cartoon-ferret,baz,
rolex-intrenchment,foo,
sightseeing-navy,bar,
miens-strudel,bar,
righteousness-kickback,bar,
fuzzing-oxymora,baz,
pannier-hydrangeas,qux,
appealing-burgles,qux,
narking-forgeries,bar,
sucks-mayas,foo,
mousetraps-voluntary,qux,
perfections-belied,baz,
debts-photoed,baz,
shoplift-equaling,qux,
workflows-apprehensive,bar,
sniffle-akkad,qux,
circumscribe-attenuates,foo,
redefining-dewey,qux,
merged-conjecturing,baz,
ozone-develop,qux,
spotter-reapplied,bar,
pkg-pirates,bar,
doings-reevaluating,foo,
heroism-sliced,bar,
unquote-duchies,foo,
fo'c'sle-climates,bar,
ramps-honeymooned,bar,
inquiry-camilla,foo,
impurer-avoidance,bar,
foreseeable-diploma,baz,
bangladeshis-coots,baz,
staccatos-assoc,baz,
anecdote-grandly,bar,
assiduous-ambrosia,foo,
pastorates-childless,bar,
wattled-collage,bar,
gaiters-sachet,bar,
vestments-espouse,foo,
lilliputians-confectioner,qux,
reproduces-isabela,baz,
excellency-staves,baz,
hs-paintbrush,bar,
discoloring-festivities,foo,
parfait-weathering,baz,
deletion-caracul,baz,
fairy-bills,baz,
galapagos-chagrining,qux,
zygote-katmai,qux,
inelegantly-montanan,bar,
wycherley-unreserved,foo,
onondaga-terrell,foo,
catkins-eventuality,baz,
karate-panhandles,bar,
mutineers-purpose,foo,
parley-fossilized,foo,
ecclesiastic-effectuating,baz,
gallium-brice,qux,
everglades-hackers,baz,
panhandles-cedar,bar,
methought-wangle,qux,
diverts-protracted,qux,
imperiousness-connellsville,foo,
paramedic-hypothetical,foo,
remover-skeptical,qux,
quiche-giggly,baz,
ventured-bastardize,baz,
heedless-tart,foo,
sprawls-randy,baz,
rodeo-hereditary,bar,
gallbladder-deliveries,qux,
callousness-erect,foo,
amado-attlee,baz,
talented-coke,qux,
buildings-tamps,qux,
digits-controversial,foo,
bonbon-collectively,qux,
overpowered-joystick,foo,
kink-franking,baz,
onwards-uncompromisingly,foo,
unquotes-positioning,foo,
preambles-digests,foo,
bullying-icon,bar,
dipole-scared,baz,
caloric-matchbox,foo,
bilateral-scripture,foo,
clamors-saluted,bar,
donnell-deng,qux,
edwardian-saturnalia,foo,
monetize-rupturing,foo,
epoxied-illegalities,foo,
commiserates-jokes,foo,
sabbaticals-digression,foo,
duskiest-deleon,qux,
buckram-sparrows,qux,
controversies-underbellies,baz,
stoutly-luxurious,baz,
stampeded-enterprising,baz,
relative-potpourri,foo,
complimenting-constantinople,foo,
lepers-fascinated,bar,
jewels-boarders,qux,
anatomists-sparta,baz,
plaint-taunt,foo,
adjudged-complication,foo,
spouted-disfavor,bar,
instanced-mudslingers,qux,
electron-trickiness,baz,
preterite-incrusted,qux,
britten-nonevent,bar,
shriveled-promptly,foo,
trimarans-paused,qux,
heroin-polynesian,foo,
powerboat-hair,bar,
bulletproofs-sender,bar,
advisement-prenups,bar,
retake-mantillas,bar,
input-ceausescu,qux,
bandied-stunningly,bar,
piped-trivialities,foo,
inventions-conciliators,baz,
acquired-superspreader,bar,
bicycled-swap,baz,
caveman-tranquillized,qux,
secretiveness-allergies,baz,
loops-pebbles,bar,
demoniacal-tunney,qux,
recognizable-asteroid,qux,
butler-militarily,bar,
outfox-shoots,bar,
tribunal-muckraking,qux,
reelected-buffeted,baz,
clowned-lightninged,qux,
pulverize-visioning,qux,
elizabethans-ponytail,qux,
northrup-spuming,foo,
surplus-diffusion,foo,
tenderhearted-romero,foo,
pius-snuffling,qux,
radiograms-keynes,bar,
gravy-durban,baz,
reorgs-purgatory,bar,
permutes-toboggan,baz,
penes-restated,baz,
slipped-tattles,qux,
felines-detritus,bar,
unitas-judgements,bar,
admin-spacesuits,qux,
whiniest-money,bar,
curves-tit,foo,
cheerfullest-snowblower,baz,
olympian-xenia,qux,
signposted-snag,bar,
swanks-pug,baz,
brokerage-revalue,foo,
sexagenarians-valence,foo,
convocation-bowlers,bar,
runway-suffixes,foo,
woodsheds-peeling,baz,
sprockets-mr,bar,
ashed-servicemen,foo,
thrones-edges,qux,
lynchings-turntable,baz,
capitols-samantha,baz,
lariats-pantomime,qux,
irrefutable-satire,baz,
speedboat-squawked,bar,
unequal-homesteads,foo,
modelings-nougat,baz,
partnered-souped,bar,
sexting-overzealous,baz,
lesley-polynesian,foo,
goosing-bacchanalian,baz,
factotums-possibly,bar,
worker-enrolled,qux,
tsunami-sodomites,qux,
ebro-triglycerides,baz,
fowling-push,foo,
ovoid-pigging,baz,
chromes-article,foo,
confidently-whistler,qux,
abjuring-podiatrist,bar,
synapse-bonds,qux,
thickets-overstatement,baz,
synchronous-transitively,qux,
americanisms-poinsettia,foo,
foul-dagger,foo,
unfairest-lugubriousness,bar,
shying-brutally,qux,
disparities-pupae,foo,
bit-judas,baz,
dissolution-downsizes,baz,
fervor-oort,foo,
shakeup-institutions,baz,
pontifical-emulsifies,bar,
clxvi-quintessences,qux,
stacie-forage,baz,
unmoved-seaboards,baz,
loudness-libras,qux,
ornithology-unannounced,baz,
torque-requisitions,bar,
spout-insides,baz,
unplugged-vigils,bar,
investing-sakai,foo,
einsteins-phantoms,baz,
electrocuted-bacon,foo,
cowpunchers-rheumy,foo,
venturing-whopper,bar,
leisurely-logotypes,baz,
purveyed-whiteness,baz,
hermitage-heehawing,qux,
anopheles-factorizing,qux,
impersonators-aficionado,baz,
debaucheries-obscurer,qux,
tubercular-resemblance,qux,
voltages-bristliest,baz,
fluxing-crackles,qux,
hum-crumpled,baz,
joyously-welshman,bar,
harmon-acacia,baz,
abortionists-tumble,foo,
lagrangian-repayments,baz,
lsd-slushier,baz,
helene-repossession,foo,
vaguest-harridans,qux,
quarry-federalism,qux,
pumped-ganged,foo,
vicarious-yamagata,foo,
stir-emboldens,baz,
skews-wilfredo,foo,
daguerre-ideal,bar,
threads-jack,qux,
barriers-wiriest,baz,
iridium-leashes,bar,
signets-miaows,qux,
copulates-carouser,baz,
pearliest-swung,foo,
widens-pirated,qux,
preston-excel,foo,
aligns-commode,foo,
won't-mavin,foo,
competent-sweatshops,baz,
diwali-fags,baz,
mastoid-coercion,qux,
refrigerant-golconda,baz,
blabs-tenderizers,foo,
